Feature,Importance
bureau_440,0.002378896794935528
bureau_enquiry_1,0.00237007412588251
transaction_attribute_547,0.0023675273872100396
bureau_enquiry_10,0.0023433900081486934
bureau_enquiry_3,0.0023410926417064275
bureau_427,0.002334125257620127
bureau_433,0.002313228940609335
transaction_attribute_516,0.0022971056515897806
onus_attribute_9,0.0022687366867387318
transaction_attribute_619,0.002232092861979696
bureau_enquiry_25,0.0022076651064189944
transaction_attribute_604,0.002198040722862194
transaction_attribute_335,0.002193071503041554
transaction_attribute_437,0.002188664049303252
transaction_attribute_527,0.0021879388842470046
bureau_54,0.0021846480137369608
transaction_attribute_340,0.002165837853687049
bureau_2,0.0021504938776947414
bureau_enquiry_32,0.0021440145264011133
onus_attribute_8,0.0021421645153263686
transaction_attribute_104,0.0021368676107429325
bureau_121,0.0021336831671095145
bureau_437,0.002088012274199332
bureau_451,0.002085613261905135
onus_attribute_38,0.00206922063458321
onus_attribute_14,0.002067442563284216
transaction_attribute_288,0.00205951184677104
transaction_attribute_661,0.002053303132019509
transaction_attribute_54,0.002042777816782401
bureau_enquiry_42,0.0020332942414111794
onus_attribute_7,0.0020159012974056124
transaction_attribute_636,0.0019804764668493323
bureau_416,0.0019448100048180073
bureau_enquiry_44,0.001939874916106476
transaction_attribute_106,0.001931222737878599
bureau_148,0.0019107973863794977
transaction_attribute_518,0.0019001106208819795
onus_attribute_25,0.0018870486308702617
transaction_attribute_231,0.0018827570915544414
transaction_attribute_406,0.001877144245145359
bureau_136,0.0018614794467644521
onus_attribute_42,0.0018486627731489171
onus_attribute_1,0.0018451861928929475
transaction_attribute_558,0.001837094060865079
onus_attribute_43,0.0018241628683500128
bureau_39,0.001812821519650623
onus_attribute_35,0.0018117083381332308
transaction_attribute_97,0.0018108025854674697
onus_attribute_31,0.001808989657936114
transaction_attribute_331,0.0018040588207963307
transaction_attribute_332,0.0017989979637793464
onus_attribute_13,0.0017897712922978386
transaction_attribute_512,0.0017884977934035152
transaction_attribute_33,0.0017832332056111578
bureau_406,0.0017775029379636627
transaction_attribute_342,0.0017753961483794633
onus_attribute_29,0.00176070154573515
transaction_attribute_287,0.0017559568489872565
transaction_attribute_101,0.0017547355626581088
bureau_86,0.001743913603557962
bureau_5,0.001725209663389124
transaction_attribute_514,0.0017242059036160415
onus_attribute_45,0.0017140077394644944
transaction_attribute_438,0.001711274907293488
bureau_448,0.0017093416091852388
transaction_attribute_513,0.0017052487695675411
bureau_88,0.0017018478876099944
bureau_20,0.0016958432227548992
bureau_8,0.0016935569250329532
bureau_enquiry_15,0.001671209547118681
transaction_attribute_523,0.00166366895476596
bureau_10,0.0016605838085205938
bureau_413,0.0016426324545375872
transaction_attribute_341,0.0016322604221397246
bureau_420,0.0016312701176793912
transaction_attribute_511,0.0016309087651947157
bureau_108,0.001628525824150528
onus_attribute_32,0.001623619527999854
transaction_attribute_206,0.0016216319740304202
bureau_444,0.0016157007523662876
bureau_50,0.001606910924460888
onus_attribute_22,0.001605513428803327
